kernel,phase,pass,ms
prange_saxpy,Function passes on '_ZN13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',ReassociatePass,0.029
prange_saxpy,Finalize object,Slot index numbering #10,0.029
prange_saxpy,Finalize object,Machine code sinking #4,0.029
prange_saxpy,Finalize object,Natural Loop Information #21,0.028
prange_saxpy,Finalize object,Slot index numbering #9,0.027
prange_saxpy,Finalize object,Function Alias Analysis Results #14,0.024
prange_saxpy,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',BDCEPass,0.024
prange_saxpy,Function passes on '_ZN7cpython13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',AggressiveInstCombinePass,0.023
prange_saxpy,Function passes on '_ZN7cpython13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',LibCallsShrinkWrapPass,0.023
prange_saxpy,Finalize object,Slot index numbering #8,0.022
prange_saxpy,Function passes on '_ZN13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',ADCEPass,0.022
prange_saxpy,Module passes (cheap optimization for refprune),LCSSAPass,0.022
prange_saxpy,Module passes (cheap optimization for refprune),AnnotationRemarksPass,0.022
prange_saxpy,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',ReassociatePass,0.021
prange_saxpy,Finalize object,Machine Natural Loop Construction #19,0.02
prange_saxpy,Finalize object,Machine Block Frequency Analysis #20,0.02
prange_saxpy,Finalize object,BreakFalseDeps #5,0.02
prange_saxpy,Finalize object,X86 LEA Optimize #5,0.02
prange_saxpy,Finalize object,Finalize ISel and expand pseudo-instructions #5,0.02
prange_saxpy,Finalize object,Machine Dominance Frontier Construction #5,0.02
prange_saxpy,Finalize object,Machine Block Frequency Analysis #23,0.02
prange_saxpy,Finalize object,MachinePostDominator Tree Construction #10,0.02
prange_saxpy,Finalize object,Live DEBUG_VALUE analysis #5,0.02
prange_saxpy,Finalize object,Init Undef Pass #4,0.02
prange_saxpy,Finalize object,Greedy Register Allocator #8,0.02
prange_saxpy,Finalize object,Init Undef Pass #5,0.02
prange_saxpy,Finalize object,Machine Natural Loop Construction #15,0.02
prange_saxpy,Finalize object,MachinePostDominator Tree Construction #5,0.02
prange_saxpy,Finalize object,Check CFA info and insert CFI instructions if needed #3,0.02
prange_saxpy,Finalize object,Machine Natural Loop Construction #13,0.02
prange_saxpy,Finalize object,Machine Block Frequency Analysis #18,0.02
prange_saxpy,Finalize object,Finalize ISel and expand pseudo-instructions #4,0.02
prange_saxpy,Finalize object,Check CFA info and insert CFI instructions if needed #4,0.02
prange_saxpy,Finalize object,Post-Dominator Tree Construction #8,0.02
prange_saxpy,Module passes (cheap optimization for refprune),AlwaysInlinerPass,0.019
prange_saxpy,Finalize object,Post-Dominator Tree Construction #9,0.018
prange_saxpy,Finalize object,Basic Alias Analysis (stateless AA impl) #19,0.018
prange_saxpy,Function passes on '_ZN13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',BDCEPass,0.018
prange_saxpy,Function passes on '_ZN7cpython13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',RefNormalizePass,0.017
prange_saxpy,Finalize object,MachinePostDominator Tree Construction #13,0.017
prange_saxpy,Finalize object,Post-Dominator Tree Construction #10,0.016
prange_saxpy,Finalize object,Machine Block Frequency Analysis #21,0.016
prange_saxpy,Finalize object,MachinePostDominator Tree Construction #12,0.016
prange_saxpy,Finalize object,Machine Natural Loop Construction #18,0.016
prange_saxpy,Finalize object,MachineDominator Tree Construction #32,0.016
prange_saxpy,Finalize object,Machine Natural Loop Construction #17,0.015
prange_saxpy,Finalize object,Check CFA info and insert CFI instructions if needed,0.015
prange_saxpy,Finalize object,Machine Block Frequency Analysis #24,0.015
prange_saxpy,Function passes on '_ZN7cpython13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',TailCallElimPass,0.015
prange_saxpy,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',LibCallsShrinkWrapPass,0.015
prange_saxpy,Finalize object,Machine Loop Invariant Code Motion #5,0.015
prange_saxpy,Finalize object,Machine Natural Loop Construction #16,0.015
prange_saxpy,Finalize object,Machine Natural Loop Construction #14,0.015
prange_saxpy,Finalize object,Machine Block Frequency Analysis #22,0.014
prange_saxpy,Function passes on '_ZN13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',TailCallElimPass,0.014
prange_saxpy,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',AggressiveInstCombinePass,0.014
prange_saxpy,Function passes on '_ZN13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',AggressiveInstCombinePass,0.013
prange_saxpy,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',TailCallElimPass,0.013
prange_saxpy,Finalize object,MachineDominator Tree Construction #30,0.012
prange_saxpy,Finalize object,X86 vzeroupper inserter #5,0.012
prange_saxpy,Finalize object,PostRA Machine Sink #5,0.012
prange_saxpy,Finalize object,MachineDominator Tree Construction #28,0.012
prange_saxpy,Finalize object,MachinePostDominator Tree Construction #14,0.012
prange_saxpy,Finalize object,MachineDominator Tree Construction #33,0.012
prange_saxpy,Finalize object,MachinePostDominator Tree Construction #11,0.01
prange_saxpy,Finalize object,Post-RA pseudo instruction expansion pass #5,0.01
prange_saxpy,Finalize object,X86 Fixup SetCC #4,0.01
prange_saxpy,Finalize object,X86 LEA Fixup #5,0.01
prange_saxpy,Finalize object,MachineDominator Tree Construction #31,0.01
prange_saxpy,Finalize object,X86 Optimize Call Frame #5,0.01
prange_saxpy,Finalize object,MachineDominator Tree Construction #26,0.01
prange_saxpy,Finalize object,Natural Loop Information #22,0.01
prange_saxpy,Finalize object,Machine Loop Invariant Code Motion #4,0.01
prange_saxpy,Finalize object,Machine Cycle Info Analysis #5,0.01
prange_saxpy,Finalize object,Tail Duplication #4,0.01
prange_saxpy,Finalize object,Canonicalize natural loops #5,0.01
prange_saxpy,Finalize object,Machine Natural Loop Construction #20,0.01
prange_saxpy,Finalize object,Remove unreachable blocks from the CFG #5,0.01
prange_saxpy,Finalize object,Free MachineFunction #5,0.01
prange_saxpy,Finalize object,Remove unreachable machine basic blocks #4,0.01
prange_saxpy,Finalize object,Natural Loop Information #25,0.01
prange_saxpy,Finalize object,Stack Slot Coloring #4,0.01
prange_saxpy,Finalize object,X86 pseudo instruction expansion pass #5,0.01
prange_saxpy,Finalize object,Natural Loop Information #23,0.01
prange_saxpy,Finalize object,Early Tail Duplication #4,0.01
prange_saxpy,Finalize object,Expand memcmp() to load/stores #5,0.01
prange_saxpy,Finalize object,X86 cmov Conversion #5,0.01
prange_saxpy,Finalize object,X86 Fixup Vector Constants #4,0.01
prange_saxpy,Finalize object,X86 Fixup Inst Tuning #5,0.01
prange_saxpy,Finalize object,Natural Loop Information #24,0.01
prange_saxpy,Finalize object,MachineDominator Tree Construction #27,0.01
prange_saxpy,Finalize object,Machine Trace Metrics #3,0.01
prange_saxpy,Finalize object,Partially inline calls to library functions #5,0.01
prange_saxpy,Finalize object,Interleaved Access Pass #5,0.01
prange_saxpy,Finalize object,X86 Avoid Store Forwarding Blocks #5,0.01
prange_saxpy,Finalize object,MachineDominator Tree Construction #29,0.01
prange_saxpy,Finalize object,Merge contiguous icmps into a memcmp #5,0.01
prange_saxpy,Finalize object,Bundle Machine CFG Edges #9,0.01
prange_saxpy,Finalize object,Debug Variable Analysis #5,0.01
prange_saxpy,Finalize object,Process Implicit Definitions #4,0.01
prange_saxpy,Finalize object,Live Stack Slot Analysis #5,0.01
prange_saxpy,Finalize object,Scalarize Masked Memory Intrinsics #5,0.01
prange_saxpy,Finalize object,Replace intrinsics with calls to vector library #5,0.01
prange_saxpy,Finalize object,ObjC ARC contraction #5,0.01
prange_saxpy,Finalize object,Exception handling preparation #5,0.01
prange_saxpy,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',RefNormalizePass,0.01
prange_saxpy,Finalize object,Machine Block Frequency Analysis #25,0.01
prange_saxpy,Finalize object,X86 Fixup SetCC #5,0.01
prange_saxpy,Finalize object,X86 Optimize Call Frame #4,0.01
prange_saxpy,Finalize object,Remove unreachable blocks from the CFG #4,0.01
prange_saxpy,Finalize object,MachinePostDominator Tree Construction #15,0.01
prange_saxpy,Finalize object,Stack Slot Coloring #5,0.01
prange_saxpy,Finalize object,Remove unreachable machine basic blocks #5,0.01
prange_saxpy,Finalize object,MachineDominator Tree Construction #34,0.01
prange_saxpy,Finalize object,Tail Duplication #5,0.01
prange_saxpy,Finalize object,X86 Fixup Vector Constants #5,0.01
prange_saxpy,Finalize object,Machine Trace Metrics #4,0.01
prange_saxpy,Finalize object,Process Implicit Definitions #5,0.01
prange_saxpy,Finalize object,Bundle Machine CFG Edges #8,0.01
prange_saxpy,Finalize object,Optimize machine instruction PHIs #4,0.01
prange_saxpy,Finalize object,Slot index numbering #7,0.01
prange_saxpy,Finalize object,X86 cmov Conversion #4,0.01
prange_saxpy,Finalize object,Early Tail Duplication #5,0.01
prange_saxpy,Finalize object,X86 Fixup Inst Tuning #4,0.01
prange_saxpy,Finalize object,Check CFA info and insert CFI instructions if needed #2,0.01
prange_saxpy,Finalize object,Scalarize Masked Memory Intrinsics #4,0.01
prange_saxpy,Finalize object,Expand reduction intrinsics #4,0.01
prange_saxpy,Finalize object,Machine Block Frequency Analysis #19,0.01
prange_saxpy,Finalize object,MachineDominator Tree Construction #35,0.01
prange_saxpy,Finalize object,Machine Natural Loop Construction #8,0.01
prange_saxpy,Finalize object,MachineDominator Tree Construction #22,0.01
prange_saxpy,Finalize object,X86 vzeroupper inserter #4,0.01
prange_saxpy,Finalize object,Function Alias Analysis Results #12,0.01
prange_saxpy,Function passes on '_ZN13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',RefNormalizePass,0.009
prange_saxpy,Function passes on '_ZN13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',MergedLoadStoreMotionPass,0.009
prange_saxpy,Finalize object,Spill Code Placement Analysis #5,0.008
prange_saxpy,Finalize object,Expand Atomic instructions #5,0.008
prange_saxpy,Function passes on '_ZN7cpython13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',VectorCombinePass,0.008
prange_saxpy,Module passes (full optimization),AlwaysInlinerPass,0.007
prange_saxpy,Finalize object,Optimize machine instruction PHIs #5,0.007
prange_saxpy,Finalize object,Expand reduction intrinsics #5,0.007
prange_saxpy,Function passes on '_ZN7cpython13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',LoopSimplifyPass,0.007
prange_saxpy,Module passes (cheap optimization for refprune),AllocTokenPass,0.007
prange_saxpy,Module passes (cheap optimization for refprune),EntryExitInstrumenterPass,0.007
prange_saxpy,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',VectorCombinePass,0.007
prange_saxpy,Finalize object,Function Alias Analysis Results #13,0.006
prange_saxpy,Function passes on '_ZN13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',LibCallsShrinkWrapPass,0.006
prange_saxpy,Module passes (full optimization),WarnMissedTransformationsPass,0.004
prange_saxpy,Function passes on '_ZN13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',VectorCombinePass,0.004
prange_saxpy,Function passes on '_ZN13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',LCSSAPass,0.004
prange_saxpy,Function passes on '_ZN13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',LoopSimplifyPass,0.004
prange_saxpy,Module passes (cheap optimization for refprune),CoroConditionalWrapper,0.004
prange_saxpy,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',LoopSimplifyPass,0.004
prange_saxpy,Finalize object,Bundle Machine CFG Edges #10,0.003
prange_saxpy,Function passes on '_ZN7cpython13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',LCSSAPass,0.003
prange_saxpy,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',LCSSAPass,0.003
prange_saxpy,Finalize object,Lazy Block Frequency Analysis #15,0.002
prange_saxpy,Finalize object,Pseudo Probe Inserter #5,0.002
prange_saxpy,Function passes on '_ZN13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',CoroElidePass,0.002
prange_saxpy,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',MergedLoadStoreMotionPass,0.002
prange_saxpy,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',MoveAutoInitPass,0.002
prange_saxpy,Function passes on '_ZN13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',SpeculativeExecutionPass,0.001
prange_saxpy,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',SpeculativeExecutionPass,0.001
prange_saxpy,Module passes (full optimization),ControlHeightReductionPass,0.0
prange_saxpy,Module passes (full optimization),CallSiteSplittingPass,0.0
prange_saxpy,Module passes (full optimization),MergedLoadStoreMotionPass,0.0
prange_saxpy,Module passes (full optimization),InjectTLIMappings,0.0
prange_saxpy,Module passes (full optimization),AlignmentFromAssumptionsPass,0.0
prange_saxpy,Module passes (full optimization),CoroAnnotationElidePass,0.0
prange_saxpy,Module passes (full optimization),LowerExpectIntrinsicPass,0.0
prange_saxpy,Module passes (full optimization),CoroSplitPass,0.0
prange_saxpy,Module passes (full optimization),PromotePass,0.0
prange_saxpy,Module passes (full optimization),AllocTokenPass,0.0
prange_saxpy,Module passes (full optimization),DivRemPairsPass,0.0
prange_saxpy,Module passes (full optimization),MoveAutoInitPass,0.0
prange_saxpy,Module passes (full optimization),MemProfRemoveInfo,0.0
prange_saxpy,Module passes (full optimization),ArgumentPromotionPass,0.0
prange_saxpy,Module passes (full optimization),CoroElidePass,0.0
prange_saxpy,Module passes (full optimization),InvalidateAnalysisPass<llvm::ShouldNotRunFunctionPassesAnalysis>,0.0
prange_saxpy,Module passes (full optimization),InvalidateAnalysisPass<llvm::AAManager>,0.0
prange_saxpy,Module passes (full optimization),OpenMPOptCGSCCPass,0.0
prange_saxpy,Module passes (full optimization),SpeculativeExecutionPass,0.0
prange_saxpy,Module passes (full optimization),EntryExitInstrumenterPass,0.0
prange_saxpy,Module passes (full optimization),AnnotationRemarksPass,0.0
prange_saxpy,Module passes (full optimization),LoopSinkPass,0.0
prange_saxpy,Module passes (full optimization),ConstantMergePass,0.0
prange_saxpy,Module passes (full optimization),CoroCleanupPass,0.0
prange_saxpy,Module passes (full optimization),EliminateAvailableExternallyPass,0.0
prange_saxpy,Module passes (full optimization),Annotation2MetadataPass,0.0
prange_saxpy,Module passes (full optimization),ForceFunctionAttrsPass,0.0
prange_saxpy,Module passes (full optimization),OpenMPOptPass,0.0
prange_saxpy,Module passes (full optimization),CoroEarlyPass,0.0
prange_saxpy,Module passes (full optimization),RelLookupTableConverterPass,0.0
prange_saxpy,Module passes (full optimization),"RequireAnalysisPass<llvm::ProfileSummaryAnalysis, llvm::Module>",0.0
prange_saxpy,Finalize object,Machine Optimization Remark Emitter #17,0.0
prange_saxpy,Finalize object,Virtual Register Map #5,0.0
prange_saxpy,Finalize object,Lower AMX type for load/store #5,0.0
prange_saxpy,Finalize object,X86 Partial Reduction #5,0.0
prange_saxpy,Finalize object,Pre-ISel Intrinsic Lowering #6,0.0
prange_saxpy,Finalize object,Post RA top-down list latency scheduler #5,0.0
prange_saxpy,Finalize object,Assignment Tracking Analysis #5,0.0
prange_saxpy,Finalize object,Local Dynamic TLS Access Clean-up #5,0.0
prange_saxpy,Finalize object,Expand indirectbr instructions #4,0.0
prange_saxpy,Finalize object,Insert XRay ops #5,0.0
prange_saxpy,Finalize object,Lazy Machine Block Frequency Analysis #43,0.0
prange_saxpy,Finalize object,X86 FP Stackifier #5,0.0
prange_saxpy,Finalize object,X86 EFLAGS copy lowering #5,0.0
prange_saxpy,Finalize object,Basic Alias Analysis (stateless AA impl) #17,0.0
prange_saxpy,Finalize object,Early If-Conversion #5,0.0
prange_saxpy,Finalize object,Lazy Machine Block Frequency Analysis #47,0.0
prange_saxpy,Finalize object,Machine Optimization Remark Emitter #18,0.0
prange_saxpy,Finalize object,Insert fentry calls #5,0.0
prange_saxpy,Finalize object,Instrument function entry/exit with calls to e.g. mcount() (post inlining) #5,0.0
prange_saxpy,Finalize object,Lazy Branch Probability Analysis #12,0.0
prange_saxpy,Finalize object,X86 insert wait instruction #5,0.0
prange_saxpy,Finalize object,Stack Frame Layout Analysis #5,0.0
prange_saxpy,Finalize object,Lazy Machine Block Frequency Analysis #41,0.0
prange_saxpy,Finalize object,Lower AMX intrinsics #5,0.0
prange_saxpy,Finalize object,Analyze Machine Code For Garbage Collection #5,0.0
prange_saxpy,Finalize object,Insert stack protectors #3,0.0
prange_saxpy,Finalize object,Basic Alias Analysis (stateless AA impl) #18,0.0
prange_saxpy,Finalize object,Tile Register Pre-configure #4,0.0
prange_saxpy,Finalize object,X86 PIC Global Base Reg Initialization #5,0.0
prange_saxpy,Finalize object,Register Allocation Pass Scoring #5,0.0
prange_saxpy,Finalize object,X86 Load Value Injection (LVI) Load Hardening #5,0.0
prange_saxpy,Finalize object,Remove Redundant DEBUG_VALUE analysis #5,0.0
prange_saxpy,Finalize object,Fixup Statepoint Caller Saved #5,0.0
prange_saxpy,Finalize object,Lower Garbage Collection Instructions #5,0.0
prange_saxpy,Finalize object,Lazy Block Frequency Analysis #13,0.0
prange_saxpy,Finalize object,X86 speculative load hardening #5,0.0
prange_saxpy,Finalize object,Machine Optimization Remark Emitter #19,0.0
prange_saxpy,Finalize object,Machine Sanitizer Binary Metadata #5,0.0
prange_saxpy,Finalize object,X86 Speculative Execution Side Effect Suppression #5,0.0
prange_saxpy,Finalize object,X86 Domain Reassignment Pass #5,0.0
prange_saxpy,Finalize object,Remove Loads Into Fake Uses #5,0.0
prange_saxpy,Finalize object,X86 Indirect Thunks #5,0.0
prange_saxpy,Finalize object,Local Stack Slot Allocation #5,0.0
prange_saxpy,Finalize object,Lazy Machine Block Frequency Analysis #40,0.0
prange_saxpy,Finalize object,Lazy Machine Block Frequency Analysis #42,0.0
prange_saxpy,Finalize object,X86 Atom pad short functions #3,0.0
prange_saxpy,Finalize object,Prepare callbr #5,0.0
prange_saxpy,Finalize object,Lazy Machine Block Frequency Analysis #46,0.0
prange_saxpy,Finalize object,Lazy Branch Probability Analysis #10,0.0
prange_saxpy,Finalize object,Insert KCFI indirect call checks #5,0.0
prange_saxpy,Finalize object,X86 Lower Tile Copy #5,0.0
prange_saxpy,Finalize object,X86 Load Value Injection (LVI) Ret-Hardening #5,0.0
prange_saxpy,Finalize object,Lazy Machine Block Frequency Analysis #45,0.0
prange_saxpy,Finalize object,X86 Indirect Branch Tracking #5,0.0
prange_saxpy,Finalize object,Implement the 'patchable-function' attribute #5,0.0
prange_saxpy,Finalize object,Argument Stack Rebase #5,0.0
prange_saxpy,Finalize object,X86 Return Thunks #5,0.0
prange_saxpy,Finalize object,Lazy Block Frequency Analysis #14,0.0
prange_saxpy,Finalize object,Tile Register Configure #5,0.0
prange_saxpy,Finalize object,Lazy Branch Probability Analysis #11,0.0
prange_saxpy,Finalize object,StackMap Liveness Analysis #5,0.0
prange_saxpy,Finalize object,Unpack machine instruction bundles #5,0.0
prange_saxpy,Finalize object,Lazy Machine Block Frequency Analysis #49,0.0
prange_saxpy,Finalize object,Lazy Machine Block Frequency Analysis #44,0.0
prange_saxpy,Finalize object,Lazy Machine Block Frequency Analysis #48,0.0
prange_saxpy,Finalize object,Contiguously Lay Out Funclets #5,0.0
prange_saxpy,Finalize object,Compressing EVEX instrs when possible #5,0.0
prange_saxpy,Finalize object,Rename Disconnected Subregister Components #5,0.0
prange_saxpy,Finalize object,X86 Suppress APX features for relocation #5,0.0
prange_saxpy,Finalize object,Optimization Remark Emitter #5,0.0
prange_saxpy,Finalize object,Detect Dead Lanes #5,0.0
